"DATES" "FL664090005.Q" "FL663020003.Q" "FL664004005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069803.Q" "FL663064103.Q" "FL663067003.Q" "FL663090005.Q" "FL664190005.Q" "FL662150005.Q" "FL664104005.Q" "FL663163003.Q" "FL663168005.Q" "FL663170003.Q" "FL663167005.Q" "FL663167003.Q" "FL763067005.Q" "FL753067000.Q" "FL663178003.Q" "FL663190005.Q" "FL663192003.Q" "FL663194005.Q" "FL663193005.Q"
"196401" 8280.00 694.00 1479.00 0.00 569.00 0.00 520.00 390.00 0.00 181.00 5926.00 0.00 8206.00 -2607.00 0.00 0.00 0.00 340.00 9447.00 1354.00 7100.00 993.00 56.00 970.00 274.00 0.00 696.00
"196402" 9303.00 689.00 2257.00 0.00 1021.00 0.00 596.00 640.00 0.00 430.00 5927.00 0.00 9218.00 -2704.00 0.00 0.00 0.00 340.00 10559.00 1261.00 8230.00 1068.00 50.00 973.00 276.00 0.00 697.00
"196403" 9157.00 684.00 2564.00 0.00 1535.00 0.00 673.00 356.00 0.00 145.00 5764.00 0.00 9061.00 -2733.00 0.00 0.00 0.00 350.00 10420.00 1260.00 8100.00 1060.00 58.00 966.00 278.00 0.00 688.00
"196404" 9862.00 681.00 2674.00 0.00 1374.00 0.00 693.00 607.00 0.00 897.00 5610.00 0.00 9771.00 -2843.00 0.00 0.00 0.00 350.00 11220.00 1785.00 8384.00 1051.00 60.00 984.00 298.00 0.00 686.00
"196501" 9051.00 687.00 2104.00 0.00 955.00 0.00 750.00 399.00 0.00 688.00 5572.00 0.00 8945.00 -2803.00 0.00 0.00 0.00 360.00 10345.00 1747.00 7800.00 798.00 67.00 976.00 300.00 0.00 676.00
"196502" 10499.00 698.00 3132.00 0.00 1510.00 0.00 835.00 787.00 0.00 1077.00 5592.00 0.00 10363.00 -2912.00 0.00 0.00 0.00 360.00 11885.00 2041.00 8978.00 866.00 64.00 966.00 291.00 0.00 675.00
"196503" 8511.00 709.00 1721.00 0.00 595.00 0.00 754.00 372.00 0.00 661.00 5420.00 0.00 8340.00 -3032.00 0.00 0.00 0.00 370.00 9973.00 2284.00 6700.00 989.00 82.00 947.00 281.00 0.00 666.00
"196504" 10349.00 711.00 2449.00 0.00 1082.00 0.00 453.00 914.00 0.00 1203.00 5986.00 0.00 10147.00 -3231.00 0.00 0.00 0.00 370.00 11968.00 2691.00 8489.00 788.00 93.00 947.00 281.00 0.00 666.00
"196601" 9123.00 730.00 1605.00 0.00 909.00 0.00 333.00 363.00 0.00 651.00 6137.00 0.00 8889.00 -3202.00 0.00 0.00 0.00 380.00 10681.00 2958.00 7000.00 723.00 101.00 929.00 274.00 0.00 655.00
"196602" 10507.00 746.00 2303.00 0.00 818.00 0.00 618.00 867.00 0.00 1155.00 6303.00 0.00 10257.00 -3283.00 0.00 0.00 0.00 390.00 12138.00 2789.00 8633.00 716.00 84.00 928.00 281.00 0.00 647.00
