,Primary Dealer,Start Date,End Date
93,EASTBRIDGE CAPITAL INC.             ,1992-06-18 00:00:00,1998-05-29 00:00:00
94,"HARRIS-NESBITT THOMSON SEC., INC.  ",1992-12-31 00:00:00,1993-09-07 00:00:00
95,"NATIONSBANK OF NORTH CAROLINA, N.A.",1993-07-06 00:00:00,1993-09-30 00:00:00
96,"CITICORP SECURITIES, INC.           ",1993-07-15 00:00:00,1998-11-30 00:00:00
97,SMITH BARNEY SHEARSON INC.          ,1993-08-02 00:00:00,1994-05-31 00:00:00
98,ZIONS FIRST NATIONAL BANK           ,1993-08-11 00:00:00,2002-03-31 00:00:00
99,HARRIS NESBITT THOMSON SEC. INC.   ,1993-09-08 00:00:00,1995-05-31 00:00:00
100,DEUTSCHE BANK SECURITIES CORPORATION,1993-10-01 00:00:00,1995-10-31 00:00:00
101,"NATIONSBANC CAPITAL MARKETS, INC.  ",1993-10-01 00:00:00,1997-09-30 00:00:00
102,CS FIRST BOSTON CORPORATION        ,1993-10-12 00:00:00,1996-12-15 00:00:00
103,"SANWA SECURITIES (USA) CO., L      ",1994-01-01 00:00:00,1998-07-20 00:00:00
104,"BA SECURITIES, INC.                ",1994-04-18 00:00:00,1997-09-30 00:00:00
105,"HSBC SECURITIES, INC.               ",1994-05-09 00:00:00,1999-05-31 00:00:00
106,SMITH BARNEY INC.                   ,1994-06-01 00:00:00,1998-08-31 00:00:00
107,SBC CAPITAL MARKETS INC.       ,1995-01-03 00:00:00,1996-06-02 00:00:00
108,NESBITT BURNS SECURITIES INC.      ,1995-06-01 00:00:00,2000-02-14 00:00:00
109,LEHMAN BROTHERS INC.                ,1995-08-31 00:00:00,2008-09-22 00:00:00
110,DEUTSCHE MORGAN GRENFELL/C.J.       ,1995-11-01 00:00:00,1998-05-29 00:00:00
111,UBS SECURITIES LLC                 ,1996-03-01 00:00:00,1998-06-28 00:00:00
112,CIBC WOOD GUNDY SECURITIES CO      ,1996-03-27 00:00:00,1997-12-03 00:00:00
113,"CHASE SECURITIES, INC              ",1996-04-01 00:00:00,2001-04-30 00:00:00
114,SBC WARBURG INC.               ,1996-06-03 00:00:00,1997-09-02 00:00:00
115,BZW SECURITIES INC.                 ,1996-07-01 00:00:00,1998-03-31 00:00:00
116,CREDIT SUISSE FIRST BOSTON CO      ,1996-12-16 00:00:00,2003-01-16 00:00:00
117,PARIBAS CORPORATION                 ,1997-05-01 00:00:00,2000-09-14 00:00:00
118,DRESDNER KLEINWORT BENSON NOR  ,1997-05-08 00:00:00,2001-04-29 00:00:00
119,SBC WARBURG DILLON READ INC.   ,1997-09-03 00:00:00,1998-06-28 00:00:00
120,BANCAMERICA ROBERTSON STEPHEN      ,1997-10-01 00:00:00,1998-08-31 00:00:00
121,"NATIONSBANC MONTGOMERY SECUR,      ",1997-10-01 00:00:00,1998-09-30 00:00:00
122,BT ALEX. BROWN INCORPORATED         ,1997-10-23 00:00:00,1999-06-04 00:00:00
123,CIBC OPPENHEIMER CORP.             ,1997-12-04 00:00:00,1999-05-02 00:00:00
124,BARCLAYS CAPITAL INC.               ,1998-04-01 00:00:00,Current Dealer
125,DEUTSCHE BANK SECURITIES INC.       ,1998-06-01 00:00:00,2001-01-11 00:00:00
126,WARBURG DILLON READ LLC.           ,1998-06-29 00:00:00,2000-04-28 00:00:00
127,"BANCAMERICA SECURITIES, INC.       ",1998-09-01 00:00:00,1998-09-30 00:00:00
128,SALOMON SMITH BARNEY INC.      ,1998-09-01 00:00:00,2003-04-06 00:00:00
129,ABN AMRO INCORPORATED               ,1998-09-29 00:00:00,2002-12-08 00:00:00
130,"NATIONSBANC MONTGOMERY SECUR,      ",1998-10-01 00:00:00,1999-05-16 00:00:00
