Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,Holding_Company_RSSD_ID,holding_company_name,permco,gvkey,linkdt,linkenddt
113,NESBITT BURNS SECURITIES INC.      ,1995/6/1,00:00.0,1448216,1245415,BMO FINANCIAL CORP.,,15576,,
114,LEHMAN BROTHERS INC.                ,1995/8/31,00:00.0,,,,,15576,,
115,DEUTSCHE MORGAN GRENFELL/C.J.       ,1995/11/1,00:00.0,1900666,2259679,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,3823,,
116,UBS SECURITIES LLC                 ,1996/3/1,00:00.0,1576959,1598157,UBS GLOBAL INVESTMENTS LLC,,15483,,
117,CIBC WOOD GUNDY SECURITIES CO      ,1996/3/27,00:00.0,1440715,1485163,,,15483,,
118,"CHASE SECURITIES, INC              ",1996/4/1,00:00.0,1041680,,,,,,
119,SBC WARBURG INC.               ,1996/6/3,00:00.0,1842234,1842216,,,28838,,
120,BZW SECURITIES INC.                 ,1996/7/1,00:00.0,1909249,1131639,,,,,
121,CREDIT SUISSE FIRST BOSTON CO      ,1996/12/16,00:00.0,1462089,1574834,"CREDIT SUISSE HOLDINGS (USA), INC.",,61840,,
122,PARIBAS CORPORATION                 ,1997/5/1,00:00.0,2311326,1575569,"BNP PARIBAS USA, INC.",,61840,,
123,DRESDNER KLEINWORT BENSON NOR  ,1997/5/8,00:00.0,,,,,61840,,
124,SBC WARBURG DILLON READ INC.   ,1997/9/3,00:00.0,1842234,2697972,,,15634,,
125,BANCAMERICA ROBERTSON STEPHEN      ,1997/10/1,00:00.0,1482069,1026016,,437,2024,1972/12/14,00:00.0
126,"NATIONSBANC MONTGOMERY SECUR,      ",1997/10/1,00:00.0,,,,,,,
127,BT ALEX. BROWN INCORPORATED         ,1997/10/23,00:00.0,1152616,1900666,DEUTSCHE BANK SECURITIES INC.,,1395,,
128,CIBC OPPENHEIMER CORP.             ,1997/12/4,00:00.0,1440715,1485163,,,3243,,
129,BARCLAYS CAPITAL INC.               ,1998/4/1,23:01.7,1146316,1131639,,,3243,,
130,DEUTSCHE BANK SECURITIES INC.       ,1998/6/1,00:00.0,1900666,2259679,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,3243,,
131,WARBURG DILLON READ LLC.           ,1998/6/29,00:00.0,1576959,1243206,UBS AG,,3243,,
132,"BANCAMERICA SECURITIES, INC.       ",1998/9/1,00:00.0,1482069,1026016,,437,2024,1972/12/14,00:00.0
133,SALOMON SMITH BARNEY INC.      ,1998/9/1,00:00.0,2754521,1584093,,,15581,,
134,ABN AMRO INCORPORATED               ,1998/9/29,00:00.0,1948239,1379552,BAC NORTH AMERICA HOLDING COMPANY,,15581,,
135,"NATIONSBANC MONTGOMERY SECUR,      ",1998/10/1,00:00.0,,,,,15197,,
136,"BANC ONE CAPITAL MARKETS, INC      ",1999/4/1,00:00.0,1370456,1090567,,,15197,,
137,CIBC WORLD MARKETS CORP.           ,1999/5/3,00:00.0,1440715,1485163,,,15197,,
138,BANC OF AMERICA SECURITIES LLC           ,1999/5/17,00:00.0,1823907,2738400,,,2943,,
139,HSBC SECURITIES (USA) INC.          ,1999/6/1,23:01.7,1032389,1032325,HSBC MARKETS (USA) INC.,,2943,,
140,SG COWEN SECURITIES CORP.          ,1999/7/1,00:00.0,1758858,2913980,"SG AMERICAS, INC.",,2943,,
141,BMO NESBITT BURNS CORP.            ,2000/2/15,00:00.0,1448216,1245415,BMO FINANCIAL CORP.,,2943,,
142,UBS WARBURG LLC.                   ,2000/5/1,00:00.0,1576959,1243206,UBS AG,,7032,,
143,BNP PARIBAS SECURITIES CORP.        ,2000/9/15,23:01.7,2311326,1575569,"BNP PARIBAS USA, INC.",,127377,,
144,DEUTSCH BANC ALEX. BROWN INC.       ,2001/1/12,00:00.0,,,,,,,
145,DRESDNER KLEINWORT WASSERSTEIN LLC,2001/4/30,00:00.0,,,,,12673,,
146,J.P. MORGAN SECURITIES INC.        ,2001/5/1,00:00.0,1155420,1039173,,,2029,,
147,DEUTSCHE BANK SECURITIES INC.       ,2002/3/30,23:01.7,1900666,2259679,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,15576,,
148,MIZUHO SECURITIES USA INC.         ,2002/4/1,23:01.7,1833577,1238770,"MIZUHO BANK, LTD.",,,,
149,"ABN AMRO BANK, N.V., NY BR          ",2002/12/9,00:00.0,3968642,,,,2019,,
150,CREDIT SUISSE 1ST BOSTON LLC   ,2003/1/17,00:00.0,,,,,15532,,
