Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,gvkey-V1,Holding_Company_RSSD_ID,holding_company_name,Permco,gvkey,linkdt,linkenddt
99,"HARRIS-NESBITT THOMSON SEC., INC.  ",1992-12-31,1993-09-07 00:00:00.000000,1448216.0,4689.0,1245415.0,BMO FINANCIAL CORP.,,,,
100,"NATIONSBANK OF NORTH CAROLINA, N.A.",1993-07-06,1993-09-30 00:00:00.000000,480228.0,7647.0,1073757.0,BANK OF AMERICA CORPORATION,3151.0,7647.0,1972-12-14,2025-03-10 20:56:17.293327
101,"CITICORP SECURITIES, INC.           ",1993-07-15,1998-11-30 00:00:00.000000,1042753.0,3066.0,1042351.0,,20456.0,3066.0,1968-11-01,1998-10-07 00:00:00.000000
102,SMITH BARNEY SHEARSON INC.          ,1993-08-02,1994-05-31 00:00:00.000000,2144814.0,,,,,,,
103,ZIONS FIRST NATIONAL BANK           ,1993-08-11,2002-03-31 00:00:00.000000,276579.0,15577.0,1027004.0,,5057.0,11687.0,1974-01-01,2025-03-10 20:56:17.293327
104,HARRIS NESBITT THOMSON SEC. INC.   ,1993-09-08,1995-05-31 00:00:00.000000,,15577.0,,,,,,
105,DEUTSCHE BANK SECURITIES CORPORATION,1993-10-01,1995-10-31 00:00:00.000000,1900666.0,15577.0,2259679.0,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,,,
106,"NATIONSBANC CAPITAL MARKETS, INC.  ",1993-10-01,1997-09-30 00:00:00.000000,1823907.0,4037.0,1073757.0,BANK OF AMERICA CORPORATION,3151.0,7647.0,1972-12-14,2025-03-10 20:56:17.293327
107,CS FIRST BOSTON CORPORATION        ,1993-10-12,1996-12-15 00:00:00.000000,1462089.0,3689.0,1574834.0,"CREDIT SUISSE HOLDINGS (USA), INC.",,,,
108,"SANWA SECURITIES (USA) CO., L      ",1994-01-01,1998-07-20 00:00:00.000000,1490448.0,144496.0,1487886.0,,,,,
109,"BA SECURITIES, INC.                ",1994-04-18,1997-09-30 00:00:00.000000,1482069.0,15576.0,1026016.0,,437.0,2024.0,1972-12-14,1998-09-30 00:00:00.000000
110,"HSBC SECURITIES, INC.               ",1994-05-09,1999-05-31 00:00:00.000000,1032389.0,15576.0,1032295.0,,,,,
111,SMITH BARNEY INC.                   ,1994-06-01,1998-08-31 00:00:00.000000,2754521.0,15576.0,,,,,,
112,SBC CAPITAL MARKETS INC.       ,1995-01-03,1996-06-02 00:00:00.000000,1842234.0,15576.0,1842216.0,,,,,
113,NESBITT BURNS SECURITIES INC.      ,1995-06-01,2000-02-14 00:00:00.000000,1448216.0,15576.0,1245415.0,BMO FINANCIAL CORP.,,,,
114,LEHMAN BROTHERS INC.                ,1995-08-31,2008-09-22 00:00:00.000000,,15576.0,,,,,,
115,DEUTSCHE MORGAN GRENFELL/C.J.       ,1995-11-01,1998-05-29 00:00:00.000000,1900666.0,3823.0,2259679.0,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,,,
116,UBS SECURITIES LLC                 ,1996-03-01,1998-06-28 00:00:00.000000,1576959.0,15483.0,1598157.0,UBS GLOBAL INVESTMENTS LLC,,,,
117,CIBC WOOD GUNDY SECURITIES CO      ,1996-03-27,1997-12-03 00:00:00.000000,1440715.0,15483.0,1485163.0,,,,,
118,"CHASE SECURITIES, INC              ",1996-04-01,2001-04-30 00:00:00.000000,1041680.0,,,,,,,
119,SBC WARBURG INC.               ,1996-06-03,1997-09-02 00:00:00.000000,1842234.0,28838.0,1842216.0,,,,,
120,BZW SECURITIES INC.                 ,1996-07-01,1998-03-31 00:00:00.000000,1909249.0,,1131639.0,,,,,
121,CREDIT SUISSE FIRST BOSTON CO      ,1996-12-16,2003-01-16 00:00:00.000000,1462089.0,61840.0,1574834.0,"CREDIT SUISSE HOLDINGS (USA), INC.",,,,
122,PARIBAS CORPORATION                 ,1997-05-01,2000-09-14 00:00:00.000000,2311326.0,61840.0,1575569.0,"BNP PARIBAS USA, INC.",,,,
123,DRESDNER KLEINWORT BENSON NOR  ,1997-05-08,2001-04-29 00:00:00.000000,,61840.0,,,,,,
